61  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=34, nb_claimsMax=2, nb_claims=8 Nb_Messages=120
62  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=44, nb_claimsMax=2, nb_claims=5 Nb_Messages=110
63  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=34, nb_claimsMax=1, nb_claims=7 Nb_Messages=101
64  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=7 nb_WinessCache=35, nb_claimsMax=7, nb_claims=13 Nb_Messages=117
65  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=38, nb_claimsMax=2, nb_claims=3 Nb_Messages=116
66  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=5 nb_WinessCache=34, nb_claimsMax=5, nb_claims=11 Nb_Messages=109
67  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=13 nb_WinessCache=39, nb_claimsMax=13, nb_claims=17 Nb_Messages=125
68  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=3 nb_WinessCache=33, nb_claimsMax=3, nb_claims=8 Nb_Messages=110
69  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=7 nb_WinessCache=36, nb_claimsMax=7, nb_claims=7 Nb_Messages=113
70  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=11 nb_WinessCache=34, nb_claimsMax=11, nb_claims=11 Nb_Messages=107
71  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=33, nb_claimsMax=2, nb_claims=7 Nb_Messages=105
72  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=5 nb_WinessCache=43, nb_claimsMax=5, nb_claims=9 Nb_Messages=105
73  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=40, nb_claimsMax=1, nb_claims=3 Nb_Messages=107
74  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=9 nb_WinessCache=34, nb_claimsMax=9, nb_claims=9 Nb_Messages=109
75  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=8 nb_WinessCache=35, nb_claimsMax=8, nb_claims=11 Nb_Messages=115
76  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=34, nb_claimsMax=1, nb_claims=6 Nb_Messages=114
77  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=6 nb_WinessCache=37, nb_claimsMax=6, nb_claims=6 Nb_Messages=116
78  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=40, nb_claimsMax=2, nb_claims=4 Nb_Messages=119
79  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=35, nb_claimsMax=1, nb_claims=6 Nb_Messages=114
80  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=9 nb_WinessCache=41, nb_claimsMax=9, nb_claims=11 Nb_Messages=117
81  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=6 nb_WinessCache=44, nb_claimsMax=6, nb_claims=11 Nb_Messages=119
82  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=2 nb_WinessCache=35, nb_claimsMax=2, nb_claims=6 Nb_Messages=100
83  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=8 nb_WinessCache=34, nb_claimsMax=8, nb_claims=11 Nb_Messages=119
84  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=9 nb_WinessCache=34, nb_claimsMax=9, nb_claims=9 Nb_Messages=119
85  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=1 nb_WinessCache=41, nb_claimsMax=1, nb_claims=3 Nb_Messages=99
86  detected idA=8 idCloneA=0  posA=(300, 300)  posCloneA=(50, 50) nb_WinessCacheMax=6 nb_WinessCache=37, nb_claimsMax=6, nb_claims=10 Nb_Messages=102
